,,,,,,,,,,,,,,,,
,,Expenses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Average
Entertainment,,Monthly totals:,$34.77,$114.22,$122.26,$87.76,$33.97,$76.76,$33.97,$36.77,$258.07,$36.82,$15.98,$0.00,$851,$71
,,Netflix,$15.99,$15.99,$17.99,$17.99,$17.99,$17.99,$17.99,$17.99,$17.99,$17.99,,,$176,$18
,,Disney,$9.99,$9.99,$9.99,$9.99,$9.99,$9.99,$9.99,$9.99,$9.99,$9.99,$9.99,,$110,$10
,,Glovo,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,,$66,$6
,,Spotify,$2.80,,$2.80,$2.80,,$2.80,,$2.80,$2.80,$2.85,,,$20,$3
,,Movies,,,,,,,,,$16.30,,,,$16,$16
,,Games,,,$47.99,$9.99,,$39.99,,,,,,,$98,$33
,,Surf,,$41.60,,$41.00,,,,,,,,,$83,$41
,,Other,,$40.65,$37.50,,,,,,$205.00,,,,$283,$94
,,,,,,,,,,,,,,,,
Everyday,,Monthly totals:,$354.11,$294.83,$240.21,$378.55,$325.24,$214.45,$277.10,$113.11,$249.01,$176.55,$0.00,$0.00,"$2,623",$219
,,Groceries,$229.71,$94.04,$112.12,$49.33,$48.04,$134.96,$167.44,$55.52,$177.11,$91.57,,,"$1,160",$116
,,Tabaco,$10.80,$10.80,$11.00,$13.75,$10.60,$10.60,$10.60,$10.60,$10.60,$10.60,,,$110,$11
,,Restaurants,$61.88,$93.03,$74.90,$78.33,,,$11.35,,$41.30,,,,$361,$60
,,Acessories,$0.00,$0.00,$0.00,$139.00,,,,,,,,,$139,$35
,,Clothes,$2.00,$39.90,,,$86.66,$68.89,,,,,,,$197,$49
,,Hair/beauty,$20.00,$20.00,$20.00,$30.00,$57.98,,$20.00,$20.00,$20.00,,,,$208,$26
,,Utilities,,,,,$121.96,,,,,,,,$122,$122
,,GYM,,,,,,,,,,,,,$0,$0
,,Suplements,,$37.06,$22.19,$68.14,,,$67.71,$26.99,,$74.38,,,$296,$49
,,Other,$29.72,,,,,,,,,,,,$30,$30
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gifts,,Monthly totals:,$119.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$119,$10
,,Gifts,$119.10,,,,,,,,,,,,$119,$119
,,,,,,,,,,,,,,,,
Car,,Monthly totals:,$105.65,$105.55,$108.00,$100.00,"$1,187.15",$224.85,"$4,370.89",$198.27,$359.47,$394.63,$101.00,$0.00,"$7,255",$605
,,Fuel,$60.00,$60.00,$60.00,$60.00,$60.00,$50.00,$120.00,$100.00,$85.00,$90.00,$101.00,,$846,$77
,,Car payments (IUC),$13.00,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,,,$126,$13
,,Ensurance,$27.50,$27.50,$27.50,$27.50,$27.50,$27.50,$90.54,$38.00,$38.00,$38.00,,,$370,$37
,,Repairs,,,,,,,,,,,,,$0,$0
,,Maintenance,,,,,"$1,076.55",$130.00,,,$141.98,$36.99,,,"$1,386",$346
,,Tolls,$5.15,$5.55,,,$10.60,$4.85,$16.80,$2.55,$8.99,$4.99,,,$59,$7
,,Improvements,,,,,,,$45.56,$45.22,$73.00,$212.15,,,$376,$94
,,Other,,,$8.00,,,,"$4,085.49",,,,,,"$4,093","$2,047"
,,,,,,,,,,,,,,,,
Vacation,,Monthly totals:,$0.00,$0.00,$0.00,$0.00,$0.00,$166.71,$0.00,$0.00,$0.00,$0.00,$0.00,$162.88,$330,$27
,,Travel,,,,,,,,,,,,$120.00,$120,$0
,,Stay,,,,,,,,,,,,$42.88,$43,$43
,,Activities,,,,,,$56.00,,,,,,,$56,$56
,,Transportation,,,,,,,,,,,,,$0,$0
,,Food,,,,,,$110.71,,,,,,,$111,$111
,,Other,,,,,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,,
Investments,,Monthly totals:,$200.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$200.00,$650.00,$0.00,$0.00,"$1,750",$146
,,Stock S&P500,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$200.00,$200.00,,,"$1,200",$120
,,Stock S&P500 Dividends,,,,,,,,,,$450.00,,,,
,,EuroMilhões,,,,,,,,,,,,,$0,$0
,,Casino,$100.00,,,,,,,,,,,,$100,$100
,,,,,,,,,,,,,,,,
Health,,Monthly totals:,$35.00,$77.36,$474.50,$0.00,$0.00,$2.19,$22.49,$10.49,$51.75,$0.00,$0.00,$0.00,$674,$56
,,Dentista,,$60.00,,,,,,,,,,,$60,$60
,,Farmacy,,,$8.00,,,$2.19,$22.49,$10.49,$51.75,,,,$95,$19
,,Cirurgias,,,$150.00,,,,,,,,,,$150,$150
,,Glasses,,,$280.00,,,,,,,,,,$280,$280
,,Consultas,$35.00,$17.36,$36.50,,,,,,,,,,$89,$30
,,,,,,,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,,
Other,,Monthly totals:,$15.00,$0.00,$0.00,$19.99,$0.00,$0.00,$14.99,$18.08,$36.13,$0.00,$0.00,$0.00,$104,$9
,,Servidor,,,,,,,,,,,,,$0,$0
,,PC,,,,,,,,,,,,,$0,$0
,,Google ONE,,,,$19.99,,,,,,,,,$20,$20
,,Loaned Money,,,,,,,,,,,,,$0,$0
,,Other,$15.00,,,,,,$14.99,$18.08,$36.13,,,,$84,$21
