,,,,,,,,,,,,,,,,
,,Expenses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Average
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Entertainment,,Monthly totals:,$34,$43,$58,$29,$54,$71,$42,$36,$25,$35,$149,$65,$641,$53
,,Netflix,$11.99,$11.99,$11.99,$11.99,$11.99,$11.99,$15.99,$15.99,$15.99,$15.99,$15.99,$15.99,$168,$14
,,Disney,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$108,$9
,,Glovo,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.99,$5.99,$12,$1
,,Movies,,$7.15,$7.10,,,$34.80,,,,,,,$49,$16
,,Games,$13.00,$15.00,$30.00,$7.98,$14.99,$15.00,$16.98,$10.99,,$9.99,,$33.98,$168,$17
,,Other,,,,,$18.45,,,,,,$117.75,,$136,$68
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Everyday,,Monthly totals:,$68.19,$51.75,$73.12,$26.00,$134.82,$42.78,$50.03,$187.00,$71.29,$179.85,$56.46,$89.72,"$1,031",$86
,,Groceries,,,,,,,$8.29,,$1.50,,$6.21,,$16,$5
,,Tabaco,$20.00,$10.00,$30.00,$19.60,$9.60,$19.60,$15.75,$10.00,$19.80,$19.60,$19.60,$9.80,$203,$17
,,Restaurants,$13.25,$29.10,$2.50,$6.40,$4.50,,,,,$20.00,$30.65,$18.50,$125,$16
,,Clothes,,,,,$100.72,,,,,$120.25,,$46.42,$267,$89
,,Hair/beauty,,,$20.00,,$20.00,,$20.00,,$20.00,$20.00,,$15.00,$115,$19
,,Farmacy,$6.99,$12.65,$19.32,,,$23.18,$5.99,,$9.99,,,,$78,$13
,,Utilities,$27.95,,,,,,,$177.00,$20.00,,,,$225,$75
,,Other,,,$1.30,,,,,,,,,,$1,$1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gifts,,Monthly totals:,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$45.70,$0.00,$0.00,$100.00,$146,$12
,,Gifts,,,,,,,,,$45.70,,,$100.00,$146,$73
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Car,,Monthly totals:,$197.91,"$1,805.00",$125.36,$122.50,$122.50,$157.95,$205.00,$148.30,$116.28,$266.79,$95.00,$85.00,"$3,448",$287
,,Fuel,$50.00,$60.00,$50.00,$60.00,$60.00,$60.00,$60.00,$110.00,$60.00,$50.00,$60.00,$50.00,$730,$61
,,Car payments (IUC),$147.21,$25.00,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$297,$25
,,Ensurance,,$50.00,$50.00,$50.00,$50.00,$76.04,$22.50,$22.50,$22.50,$22.50,$22.50,$22.50,$411,$37
,,Repairs,,"$1,670.00",,,,,,,,,,,"$1,670","$1,670"
,,Maintenance,,,$8.86,,,$9.41,$110.00,,$21.28,$149.99,,,$300,$60
,,Tolls,$0.70,,$4.00,,,,,$3.30,,,,,$8,$3
,,Other,,,,,,,,,,$31.80,,,$32,$32
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Vacation,,Monthly totals:,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$407.19,$0.00,$0.00,$0.00,$0.00,$407,$34
,,Travel,,,,,,,,$5.20,,,,,$5,$5
,,Transportation,,,,,,,,,,,,,$0,$0
,,Stay,,,,,,,,$285.00,,,,,$285,$285
,,Food,,,,,,,,$111.99,,,,,$112,$112
,,Other,,,,,,,,$5.00,,,,,$5,$5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Other,,Monthly totals:,$12.30,$1.30,$13.30,$1.30,$0.00,$0.00,$0.00,$115.60,$0.00,$0.00,$40.00,$162.75,$347,$29
,,Manutenção conta MB,$1.30,$1.30,$1.30,$1.30,,,,$15.60,,,,,$21,$4
,,Consulta Dentista,,,,,,,,$100.00,,,,$60.00,$160,$80
,,Servidor,,,,,,,,,,,,$76.75,$77,$77
,,Loaned Money,$11.00,,$12.00,,,,,,,,$40.00,$26.00,$89,$22
