,,,,,,,,,,,,,,,,
,,Expenses,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Average
Entertainment,,Monthly totals:,$31,$76,$43,$38,$38,$41,$55,$165,$33,$27,$48,$74,$670,$56
,,Netflix,$15.99,$15.99,$15.99,$15.99,$15.99,$15.99,$15.99,,,,$15.99,$15.99,$144,$16
,,Disney,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$8.99,$108,$9
,,Glovo,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,$5.99,,$5.99,$5.99,$66,$6
,,Spotify,,,,,,,$2.00,$2.00,$2.33,$2.33,$2.33,$2.33,$13,$2
,,Movies,,,,,,,$10.25,,,,,,$10,$10
,,Games,,$9.99,$11.98,$6.99,$6.99,$9.99,$11.48,$33.96,$15.98,$15.98,$14.97,$40.95,$179,$16
,,Surf,,$35.00,,,,,,$107.00,,,,,$142,$71
,,Other,,,,,,,,$6.99,,,,,$7,$7
,,,,,,,,,,,,,,,,
Everyday,,Monthly totals:,$53.70,$116.79,$661.67,$54.11,$69.89,$10.20,$129.70,$30.20,$63.63,$207.17,$170.09,$194.28,"$1,761",$147
,,Groceries,,,,,,,,,,,,$5.00,$5,$5
,,Tabaco,$20.75,$9.80,$29.40,$10.20,$20.40,$10.20,$20.40,$10.20,$13.00,$20.40,$5.10,$15.30,$185,$15
,,Restaurants,$22.73,,$13.30,,$1.50,,$19.50,,,,$18.90,$18.00,$94,$16
,,Acessories,,$79.00,$616.67,,,,$12.00,,,,,,$708,$236
,,Clothes,,,,,,,,,,$139.99,$24.50,$70.18,$235,$78
,,Hair/beauty,,$20.00,,$20.00,$20.00,,$56.80,$20.00,$20.00,,$20.00,$20.00,$197,$25
,,Farmacy,$10.22,$7.99,,$14.96,$9.99,,$21.00,,$26.70,$17.25,$20.60,$30.80,$160,$18
,,Utilities,,,,,,,,,,,,,$0,$0
,,GYM,,,,,,,,,,,$60.00,$35.00,$95,$48
,,Suplements,,,,,,,,,,$29.53,$20.99,,$51,$25
,,Other,,,$2.30,$8.95,$18.00,,,,$3.93,,,,$33,$8
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gifts,,Monthly totals:,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.42,$0.00,$0.00,$0.00,$82.31,$92,$8
,,Gifts,,,,,,,,$9.42,,,,$82.31,$92,$46
,,,,,,,,,,,,,,,,
Car,,Monthly totals:,$89.12,$93.95,$85.00,$484.00,$95.00,$120.89,$108.55,$90.00,$548.49,$97.50,$107.50,$102.50,"$2,023",$169
,,Fuel,$50.00,$50.00,$50.00,$50.00,$60.00,$60.00,$60.00,$50.00,$60.00,$60.00,$70.00,$65.00,$685,$57
,,Car payments (IUC),$16.62,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$12.50,$154,$13
,,Ensurance,$22.50,$22.50,$22.50,$22.50,$22.50,$48.39,$25.00,$25.00,$25.00,$25.00,$25.00,$25.00,$311,$26
,,Repairs,,,,,,,,,$270.00,,,,$270,$270
,,Maintenance,,$8.95,,,,,,,$174.19,,,,$183,$92
,,Tolls,,,,$3.00,,,$11.05,$2.50,$6.80,,,,$23,$6
,,Improvements,,,,$396.00,,,,,,,,,$396,$396
,,Other,,,,,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,,
Vacation,,Monthly totals:,$0.00,$0.00,$0.00,$0.00,$0.00,$663.67,$0.00,$670.22,$0.00,$0.00,$0.00,$0.00,"$1,334",$111
,,Travel,,,,,,$204.72,,$40.00,,,,,$245,$122
,,Stay,,,,,,$164.28,,$404.00,,,,,$568,$284
,,Activities,,,,,,,,$20.00,,,,,$20,$20
,,Transportation,,,,,,,,,,,,,$0,$0
,,Food,,,,,,$200.00,,$206.22,,,,,$406,$203
,,Other,,,,,,$94.67,,,,,,,$95,$95
,,,,,,,,,,,,,,,,
Investments,,Monthly totals:,$85.69,$151.29,$100.00,$100.00,$121.00,$187.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,"$1,345",$112
,,Stock S&P500,,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,"$1,100",$100
,,"Pie 1 (Apple, Amazon, Tesla)",$85.69,$51.29,,,$21.00,$87.00,,,,,,,$245,$61
,,,,,,,,,,,,,,,,
Health,,Monthly totals:,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0,$0
,,Dentista,,,,,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,,
Other,,Monthly totals:,$64.00,$0.00,$120.00,$512.67,$0.00,$100.00,$0.00,$167.17,$0.00,$0.45,$382.59,$94.71,"$1,442",$120
,,Manutenção conta MB,,,,,,,,,,,,,$0,$0
,,Servidor,,,,,,,,,,,,$94.71,$95,$95
,,Surf Skate,,,,,,$100.00,,,,,,,$100,$100
,,PC,,,,,,,,,,,$382.59,,$383,$383
,,Google ONE,,,,$20.00,,,,,,,,,$20,$20
,,Loaned Money,$64.00,,$120.00,$492.67,,,,$167.17,,$0.45,,,$844,$169
